TRADEDATE,SECID,CLOSE
2021-01-25,VTBR,0.03772
2021-01-26,VTBR,0.03772
2021-01-27,VTBR,0.037065
2021-01-28,VTBR,0.03709
2021-01-29,VTBR,0.036635
2021-02-01,VTBR,0.036945
2021-02-02,VTBR,0.036945
2021-02-03,VTBR,0.037
2021-02-04,VTBR,0.03738
2021-02-05,VTBR,0.037885
2021-02-08,VTBR,0.038285
2021-02-09,VTBR,0.037805
2021-02-10,VTBR,0.03737
2021-02-11,VTBR,0.03747
2021-02-12,VTBR,0.037685
2021-02-15,VTBR,0.03808
2021-02-16,VTBR,0.03789
2021-02-17,VTBR,0.03768
2021-02-18,VTBR,0.03694
2021-02-19,VTBR,0.03738
2021-02-20,VTBR,0.03731
2021-02-22,VTBR,0.03735
2021-02-24,VTBR,0.03748
2021-02-25,VTBR,0.037415
2021-02-26,VTBR,0.037075
2021-03-01,VTBR,0.037385
2021-03-02,VTBR,0.037605
2021-03-03,VTBR,0.037445
2021-03-04,VTBR,0.036975
2021-03-05,VTBR,0.03759
2021-03-09,VTBR,0.038465
2021-03-10,VTBR,0.03831
2021-03-11,VTBR,0.038265
2021-03-12,VTBR,0.038175
2021-03-15,VTBR,0.03857
2021-03-16,VTBR,0.038765
2021-03-17,VTBR,0.038215
2021-03-18,VTBR,0.03761
2021-03-19,VTBR,0.03785
2021-03-22,VTBR,0.03816
2021-03-23,VTBR,0.0378
2021-03-24,VTBR,0.037915
2021-03-25,VTBR,0.03805
2021-03-26,VTBR,0.03838
2021-03-29,VTBR,0.038785
2021-03-30,VTBR,0.03986
2021-03-31,VTBR,0.042715
2021-04-01,VTBR,0.04258
2021-04-02,VTBR,0.042855
2021-04-05,VTBR,0.044375
2021-04-06,VTBR,0.0429
2021-04-07,VTBR,0.0441
2021-04-08,VTBR,0.044055
2021-04-09,VTBR,0.04375
2021-04-12,VTBR,0.04402
2021-04-13,VTBR,0.04548
2021-04-14,VTBR,0.04676
2021-04-15,VTBR,0.046355
2021-04-16,VTBR,0.047475
2021-04-19,VTBR,0.04642
2021-04-20,VTBR,0.046825
2021-04-21,VTBR,0.04786
2021-04-22,VTBR,0.048
2021-04-23,VTBR,0.05136
2021-04-26,VTBR,0.051315
2021-04-27,VTBR,0.051295
2021-04-28,VTBR,0.05033
2021-04-29,VTBR,0.05001
2021-04-30,VTBR,0.0516
2021-05-04,VTBR,0.054695
2021-05-05,VTBR,0.054125
2021-05-06,VTBR,0.054285
2021-05-07,VTBR,0.052725
2021-05-10,VTBR,0.050895
2021-05-11,VTBR,0.04958
2021-05-12,VTBR,0.048605
2021-05-13,VTBR,0.051055
2021-05-14,VTBR,0.050075
